reviewText,overall,product,sentiment,reviewTime,cleaned_text,processed_text,vader_compound,vader_pos,vader_neg,vader_neu,afinn_score,label
"Perfect product, exactly what I needed and arrived quickly The performance is excellent.",5,camera,positive,2021-03-25,perfect product exactly what i needed and arrived quickly the performance is excellent,perfect product exactly needed arrived quickly performance excellent,0.8126,0.402,0.0,0.598,6.0,2
"Acceptable quality, arrived on time and packaging was adequate The battery life is average.",3,tablet,neutral,2020-03-06,acceptable quality arrived on time and packaging was adequate the battery life is average,acceptable quality arrived time packaging adequate battery life average,0.4939,0.259,0.0,0.741,4.0,1
"Stopped working immediately, complete waste of money and time The delivery is terrible.",1,tablet,negative,2023-03-07,stopped working immediately complete waste of money and time the delivery is terrible,stopped working immediately complete waste money time delivery terrible,-0.7783,0.0,0.438,0.562,-5.0,0
"Acceptable quality, arrived on time and packaging was adequate The price is average.",3,speaker,neutral,2022-03-21,acceptable quality arrived on time and packaging was adequate the price is average,acceptable quality arrived time packaging adequate price average,0.4939,0.276,0.0,0.724,4.0,1
"Mediocre product, expected better quality for the price paid The build quality is average.",3,charger,neutral,2020-10-12,mediocre product expected better quality for the price paid the build quality is average,mediocre product expected better quality price paid build quality average,0.4404,0.182,0.0,0.818,6.0,1
"Outstanding quality and performance, very satisfied with this purchase The delivery is excellent.",5,monitor,positive,2022-03-28,outstanding quality and performance very satisfied with this purchase the delivery is excellent,outstanding quality performance satisfied purchase delivery excellent,0.8955,0.519,0.0,0.481,12.0,2
"Poor quality and bad customer service, would not recommend The build quality is terrible.",2,laptop,negative,2020-04-06,poor quality and bad customer service would not recommend the build quality is terrible,poor quality bad customer service would not recommend build quality terrible,-0.8959,0.0,0.541,0.459,-2.0,0
"Excellent build quality, fast delivery and works as described The build quality is excellent.",5,monitor,positive,2020-05-10,excellent build quality fast delivery and works as described the build quality is excellent,excellent build quality fast delivery work described build quality excellent,0.8126,0.381,0.0,0.619,10.0,2
"Stopped working immediately, complete waste of money and time The design is terrible.",2,camera,negative,2020-01-24,stopped working immediately complete waste of money and time the design is terrible,stopped working immediately complete waste money time design terrible,-0.7783,0.0,0.438,0.562,-5.0,0
"Average quality, works as expected nothing more nothing less The delivery is average.",3,keyboard,neutral,2020-08-16,average quality works as expected nothing more nothing less the delivery is average,average quality work expected nothing nothing less delivery average,0.0,0.0,0.0,1.0,2.0,1
"Stopped working immediately, complete waste of money and time The build quality is terrible.",2,headphones,negative,2021-06-23,stopped working immediately complete waste of money and time the build quality is terrible,stopped working immediately complete waste money time build quality terrible,-0.7783,0.0,0.415,0.585,-3.0,0
"Decent product for the price, some minor issues but overall acceptable The screen quality is average.",3,charger,neutral,2023-08-01,decent product for the price some minor issues but overall acceptable the screen quality is average,decent product price minor issue overall acceptable screen quality average,0.4497,0.164,0.0,0.836,3.0,1
"Average experience, product works but has some limitations The price is average.",3,smartphone,neutral,2022-02-04,average experience product works but has some limitations the price is average,average experience product work limitation price average,0.0,0.0,0.0,1.0,0.0,1
"Outstanding quality and performance, very satisfied with this purchase The battery life is excellent.",5,speaker,positive,2020-02-09,outstanding quality and performance very satisfied with this purchase the battery life is excellent,outstanding quality performance satisfied purchase battery life excellent,0.8955,0.495,0.0,0.505,12.0,2
Super fast shipping and the product works exactly as advertised The delivery is excellent.,4,headphones,positive,2021-05-08,super fast shipping and the product works exactly as advertised the delivery is excellent,super fast shipping product work exactly advertised delivery excellent,0.8225,0.388,0.0,0.612,6.0,2
"Average quality, works as expected nothing more nothing less The screen quality is average.",3,speaker,neutral,2020-05-21,average quality works as expected nothing more nothing less the screen quality is average,average quality work expected nothing nothing less screen quality average,0.0,0.0,0.0,1.0,4.0,1
"Decent product for the price, some minor issues but overall acceptable The build quality is average.",3,speaker,neutral,2023-01-30,decent product for the price some minor issues but overall acceptable the build quality is average,decent product price minor issue overall acceptable build quality average,0.4497,0.164,0.0,0.836,3.0,1
"Best purchase I have made this year, highly recommend to everyone The performance is excellent.",4,camera,positive,2023-11-13,best purchase i have made this year highly recommend to everyone the performance is excellent,best purchase made year highly recommend everyone performance excellent,0.8932,0.471,0.0,0.529,8.0,2
"Best purchase I have made this year, highly recommend to everyone The performance is excellent.",5,speaker,positive,2022-11-25,best purchase i have made this year highly recommend to everyone the performance is excellent,best purchase made year highly recommend everyone performance excellent,0.8932,0.471,0.0,0.529,8.0,2
"Very disappointed with the quality, feels cheap and breaks easily The price is terrible.",1,laptop,negative,2021-11-23,very disappointed with the quality feels cheap and breaks easily the price is terrible,disappointed quality feel cheap break easily price terrible,-0.624,0.121,0.326,0.553,-3.0,0
"Incredible product, works flawlessly and looks great too The price is excellent.",4,headphones,positive,2020-05-25,incredible product works flawlessly and looks great too the price is excellent,incredible product work flawlessly look great price excellent,0.8709,0.523,0.0,0.477,8.0,2
"Product is okay, nothing special but does the job adequately The price is average.",3,laptop,neutral,2020-03-05,product is okay nothing special but does the job adequately the price is average,product okay nothing special job adequately price average,-0.0462,0.096,0.108,0.796,0.0,1
"Very disappointed with the quality, feels cheap and breaks easily The price is terrible.",2,speaker,negative,2021-03-14,very disappointed with the quality feels cheap and breaks easily the price is terrible,disappointed quality feel cheap break easily price terrible,-0.624,0.121,0.326,0.553,-3.0,0
"Decent product for the price, some minor issues but overall acceptable The design is average.",3,tablet,neutral,2022-08-26,decent product for the price some minor issues but overall acceptable the design is average,decent product price minor issue overall acceptable design average,0.4497,0.174,0.0,0.826,1.0,1
"Poor quality and bad customer service, would not recommend The screen quality is terrible.",1,mouse,negative,2021-12-26,poor quality and bad customer service would not recommend the screen quality is terrible,poor quality bad customer service would not recommend screen quality terrible,-0.8959,0.0,0.541,0.459,-2.0,0
"Stopped working immediately, complete waste of money and time The design is terrible.",1,laptop,negative,2020-05-04,stopped working immediately complete waste of money and time the design is terrible,stopped working immediately complete waste money time design terrible,-0.7783,0.0,0.438,0.562,-5.0,0
"Not worth the price, cheap materials and poor construction overall The screen quality is terrible.",1,tablet,negative,2021-01-24,not worth the price cheap materials and poor construction overall the screen quality is terrible,not worth price cheap material poor construction overall screen quality terrible,-0.7824,0.0,0.396,0.604,-1.0,0
"Mediocre product, expected better quality for the price paid The build quality is average.",3,mouse,neutral,2021-01-10,mediocre product expected better quality for the price paid the build quality is average,mediocre product expected better quality price paid build quality average,0.4404,0.182,0.0,0.818,6.0,1
"Horrible product, nothing like the description or photos shown The price is terrible.",1,speaker,negative,2023-02-01,horrible product nothing like the description or photos shown the price is terrible,horrible product nothing like description photo shown price terrible,-0.8276,0.0,0.466,0.534,-4.0,0
"This product is absolutely amazing, works perfectly and exceeded my expectations The battery life is excellent.",4,tablet,positive,2020-12-06,this product is absolutely amazing works perfectly and exceeded my expectations the battery life is excellent,product absolutely amazing work perfectly exceeded expectation battery life excellent,0.9225,0.485,0.0,0.515,10.0,2
"Horrible product, nothing like the description or photos shown The design is terrible.",1,mouse,negative,2020-04-30,horrible product nothing like the description or photos shown the design is terrible,horrible product nothing like description photo shown design terrible,-0.8276,0.0,0.466,0.534,-4.0,0
"Amazing value for money, will definitely buy again from this seller The battery life is excellent.",5,charger,positive,2022-07-20,amazing value for money will definitely buy again from this seller the battery life is excellent,amazing value money definitely buy seller battery life excellent,0.9118,0.512,0.0,0.488,7.0,2
"Stopped working immediately, complete waste of money and time The design is terrible.",1,tablet,negative,2021-08-30,stopped working immediately complete waste of money and time the design is terrible,stopped working immediately complete waste money time design terrible,-0.7783,0.0,0.438,0.562,-5.0,0
"This product is absolutely amazing, works perfectly and exceeded my expectations The battery life is excellent.",5,headphones,positive,2020-04-12,this product is absolutely amazing works perfectly and exceeded my expectations the battery life is excellent,product absolutely amazing work perfectly exceeded expectation battery life excellent,0.9225,0.485,0.0,0.515,10.0,2
"Mediocre product, expected better quality for the price paid The build quality is average.",3,headphones,neutral,2022-11-06,mediocre product expected better quality for the price paid the build quality is average,mediocre product expected better quality price paid build quality average,0.4404,0.182,0.0,0.818,6.0,1
"Excellent build quality, fast delivery and works as described The screen quality is excellent.",4,tablet,positive,2022-04-06,excellent build quality fast delivery and works as described the screen quality is excellent,excellent build quality fast delivery work described screen quality excellent,0.8126,0.381,0.0,0.619,10.0,2
"Incredible product, works flawlessly and looks great too The price is excellent.",4,monitor,positive,2020-06-16,incredible product works flawlessly and looks great too the price is excellent,incredible product work flawlessly look great price excellent,0.8709,0.523,0.0,0.477,8.0,2
"Disappointing purchase, arrived damaged and customer support unhelpful The customer service is terrible.",2,tablet,negative,2023-10-03,disappointing purchase arrived damaged and customer support unhelpful the customer service is terrible,disappointing purchase arrived damaged customer support unhelpful customer service terrible,-0.7579,0.129,0.44,0.431,-6.0,0
"Acceptable quality, arrived on time and packaging was adequate The price is average.",3,charger,neutral,2022-03-21,acceptable quality arrived on time and packaging was adequate the price is average,acceptable quality arrived time packaging adequate price average,0.4939,0.276,0.0,0.724,4.0,1
"Best purchase I have made this year, highly recommend to everyone The design is excellent.",5,laptop,positive,2020-01-20,best purchase i have made this year highly recommend to everyone the design is excellent,best purchase made year highly recommend everyone design excellent,0.8932,0.471,0.0,0.529,8.0,2
"Disappointing purchase, arrived damaged and customer support unhelpful The screen quality is terrible.",1,camera,negative,2021-03-12,disappointing purchase arrived damaged and customer support unhelpful the screen quality is terrible,disappointing purchase arrived damaged customer support unhelpful screen quality terrible,-0.7579,0.129,0.44,0.431,-4.0,0
"Neither good nor bad, average product with average performance The build quality is average.",3,keyboard,neutral,2020-05-20,neither good nor bad average product with average performance the build quality is average,neither good nor bad average product average performance build quality average,-0.5824,0.0,0.285,0.715,2.0,1
Super fast shipping and the product works exactly as advertised The delivery is excellent.,4,speaker,positive,2023-01-17,super fast shipping and the product works exactly as advertised the delivery is excellent,super fast shipping product work exactly advertised delivery excellent,0.8225,0.388,0.0,0.612,6.0,2
"Neither good nor bad, average product with average performance The battery life is average.",3,camera,neutral,2021-09-05,neither good nor bad average product with average performance the battery life is average,neither good nor bad average product average performance battery life average,-0.5824,0.0,0.285,0.715,0.0,1
"Average quality, works as expected nothing more nothing less The build quality is average.",3,charger,neutral,2020-08-24,average quality works as expected nothing more nothing less the build quality is average,average quality work expected nothing nothing less build quality average,0.0,0.0,0.0,1.0,4.0,1
"Outstanding quality and performance, very satisfied with this purchase The build quality is excellent.",5,charger,positive,2023-05-23,outstanding quality and performance very satisfied with this purchase the build quality is excellent,outstanding quality performance satisfied purchase build quality excellent,0.8955,0.495,0.0,0.505,14.0,2
Super fast shipping and the product works exactly as advertised The price is excellent.,5,camera,positive,2022-09-27,super fast shipping and the product works exactly as advertised the price is excellent,super fast shipping product work exactly advertised price excellent,0.8225,0.388,0.0,0.612,6.0,2
"Terrible product, stopped working after just two days of use The screen quality is terrible.",2,charger,negative,2020-03-31,terrible product stopped working after just two days of use the screen quality is terrible,terrible product stopped working two day use screen quality terrible,-0.7964,0.0,0.403,0.597,-5.0,0
Super fast shipping and the product works exactly as advertised The build quality is excellent.,5,smartphone,positive,2022-06-23,super fast shipping and the product works exactly as advertised the build quality is excellent,super fast shipping product work exactly advertised build quality excellent,0.8225,0.369,0.0,0.631,8.0,2
"Works as described, not amazing but not terrible either The battery life is average.",3,laptop,neutral,2020-06-03,works as described not amazing but not terrible either the battery life is average,work described not amazing not terrible either battery life average,0.3171,0.192,0.117,0.691,1.0,1
"Decent product for the price, some minor issues but overall acceptable The battery life is average.",3,keyboard,neutral,2023-04-07,decent product for the price some minor issues but overall acceptable the battery life is average,decent product price minor issue overall acceptable battery life average,0.4497,0.164,0.0,0.836,1.0,1
"Decent product for the price, some minor issues but overall acceptable The performance is average.",3,smartphone,neutral,2020-03-26,decent product for the price some minor issues but overall acceptable the performance is average,decent product price minor issue overall acceptable performance average,0.4497,0.174,0.0,0.826,1.0,1
"Not worth the price, cheap materials and poor construction overall The battery life is terrible.",2,tablet,negative,2023-10-28,not worth the price cheap materials and poor construction overall the battery life is terrible,not worth price cheap material poor construction overall battery life terrible,-0.7824,0.0,0.396,0.604,-3.0,0
"Great quality for the price, very happy with my purchase The customer service is excellent.",5,monitor,positive,2020-11-12,great quality for the price very happy with my purchase the customer service is excellent,great quality price happy purchase customer service excellent,0.9152,0.496,0.0,0.504,11.0,2
"Excellent build quality, fast delivery and works as described The build quality is excellent.",5,headphones,positive,2021-01-02,excellent build quality fast delivery and works as described the build quality is excellent,excellent build quality fast delivery work described build quality excellent,0.8126,0.381,0.0,0.619,10.0,2
"Acceptable quality, arrived on time and packaging was adequate The performance is average.",3,tablet,neutral,2021-06-30,acceptable quality arrived on time and packaging was adequate the performance is average,acceptable quality arrived time packaging adequate performance average,0.4939,0.276,0.0,0.724,4.0,1
"Great quality for the price, very happy with my purchase The performance is excellent.",4,speaker,positive,2021-03-31,great quality for the price very happy with my purchase the performance is excellent,great quality price happy purchase performance excellent,0.9152,0.517,0.0,0.483,11.0,2
"Perfect product, exactly what I needed and arrived quickly The customer service is excellent.",5,tablet,positive,2021-04-01,perfect product exactly what i needed and arrived quickly the customer service is excellent,perfect product exactly needed arrived quickly customer service excellent,0.8126,0.381,0.0,0.619,6.0,2
"Love this product, it works great and the quality is outstanding The performance is excellent.",5,charger,positive,2020-05-22,love this product it works great and the quality is outstanding the performance is excellent,love product work great quality outstanding performance excellent,0.9517,0.593,0.0,0.407,16.0,2
"Not worth the price, cheap materials and poor construction overall The performance is terrible.",2,headphones,negative,2020-08-24,not worth the price cheap materials and poor construction overall the performance is terrible,not worth price cheap material poor construction overall performance terrible,-0.7824,0.0,0.417,0.583,-3.0,0
"Waste of money, does not work as described at all The delivery is terrible.",1,laptop,negative,2023-05-06,waste of money does not work as described at all the delivery is terrible,waste money not work described delivery terrible,-0.7096,0.0,0.33,0.67,-7.0,0
"Not worth the price, cheap materials and poor construction overall The customer service is terrible.",2,monitor,negative,2022-11-13,not worth the price cheap materials and poor construction overall the customer service is terrible,not worth price cheap material poor construction overall customer service terrible,-0.7824,0.0,0.396,0.604,-3.0,0
"Amazing value for money, will definitely buy again from this seller The price is excellent.",5,headphones,positive,2023-12-22,amazing value for money will definitely buy again from this seller the price is excellent,amazing value money definitely buy seller price excellent,0.9118,0.534,0.0,0.466,7.0,2
"Terrible product, stopped working after just two days of use The price is terrible.",2,mouse,negative,2020-05-23,terrible product stopped working after just two days of use the price is terrible,terrible product stopped working two day use price terrible,-0.7964,0.0,0.424,0.576,-7.0,0
"Acceptable quality, arrived on time and packaging was adequate The customer service is average.",3,laptop,neutral,2021-09-07,acceptable quality arrived on time and packaging was adequate the customer service is average,acceptable quality arrived time packaging adequate customer service average,0.4939,0.259,0.0,0.741,4.0,1
"Neither good nor bad, average product with average performance The performance is average.",3,keyboard,neutral,2022-04-04,neither good nor bad average product with average performance the performance is average,neither good nor bad average product average performance performance average,-0.5824,0.0,0.303,0.697,0.0,1
"Neither good nor bad, average product with average performance The build quality is average.",3,tablet,neutral,2022-05-11,neither good nor bad average product with average performance the build quality is average,neither good nor bad average product average performance build quality average,-0.5824,0.0,0.285,0.715,2.0,1
"Works as described, not amazing but not terrible either The build quality is average.",3,monitor,neutral,2023-03-11,works as described not amazing but not terrible either the build quality is average,work described not amazing not terrible either build quality average,0.3171,0.192,0.117,0.691,3.0,1
"Stopped working immediately, complete waste of money and time The battery life is terrible.",2,charger,negative,2021-03-06,stopped working immediately complete waste of money and time the battery life is terrible,stopped working immediately complete waste money time battery life terrible,-0.7783,0.0,0.415,0.585,-5.0,0
"Disappointing purchase, arrived damaged and customer support unhelpful The customer service is terrible.",2,speaker,negative,2022-06-24,disappointing purchase arrived damaged and customer support unhelpful the customer service is terrible,disappointing purchase arrived damaged customer support unhelpful customer service terrible,-0.7579,0.129,0.44,0.431,-6.0,0
"Its fine, does what it says but there are better options available The design is average.",3,smartphone,neutral,2023-09-11,its fine does what it says but there are better options available the design is average,fine say better option available design average,0.6428,0.273,0.0,0.727,4.0,1
"Best purchase I have made this year, highly recommend to everyone The customer service is excellent.",4,tablet,positive,2023-10-09,best purchase i have made this year highly recommend to everyone the customer service is excellent,best purchase made year highly recommend everyone customer service excellent,0.8932,0.451,0.0,0.549,8.0,2
"Poor quality and bad customer service, would not recommend The price is terrible.",1,headphones,negative,2020-04-04,poor quality and bad customer service would not recommend the price is terrible,poor quality bad customer service would not recommend price terrible,-0.8959,0.0,0.568,0.432,-4.0,0
"Perfect product, exactly what I needed and arrived quickly The screen quality is excellent.",5,mouse,positive,2023-07-13,perfect product exactly what i needed and arrived quickly the screen quality is excellent,perfect product exactly needed arrived quickly screen quality excellent,0.8126,0.381,0.0,0.619,8.0,2
"Its fine, does what it says but there are better options available The performance is average.",3,speaker,neutral,2022-03-29,its fine does what it says but there are better options available the performance is average,fine say better option available performance average,0.6428,0.273,0.0,0.727,4.0,1
"Excellent build quality, fast delivery and works as described The battery life is excellent.",4,mouse,positive,2021-03-24,excellent build quality fast delivery and works as described the battery life is excellent,excellent build quality fast delivery work described battery life excellent,0.8126,0.381,0.0,0.619,8.0,2
"Outstanding quality and performance, very satisfied with this purchase The design is excellent.",4,camera,positive,2021-05-25,outstanding quality and performance very satisfied with this purchase the design is excellent,outstanding quality performance satisfied purchase design excellent,0.8955,0.519,0.0,0.481,12.0,2
"Perfect product, exactly what I needed and arrived quickly The build quality is excellent.",5,camera,positive,2023-02-18,perfect product exactly what i needed and arrived quickly the build quality is excellent,perfect product exactly needed arrived quickly build quality excellent,0.8126,0.381,0.0,0.619,8.0,2
"Acceptable quality, arrived on time and packaging was adequate The design is average.",3,monitor,neutral,2022-10-30,acceptable quality arrived on time and packaging was adequate the design is average,acceptable quality arrived time packaging adequate design average,0.4939,0.276,0.0,0.724,4.0,1
"Very bad quality, returned it immediately after opening the box The design is terrible.",1,speaker,negative,2022-07-10,very bad quality returned it immediately after opening the box the design is terrible,bad quality returned immediately opening box design terrible,-0.7841,0.0,0.365,0.635,-4.0,0
"Poor quality and bad customer service, would not recommend The delivery is terrible.",2,tablet,negative,2021-07-16,poor quality and bad customer service would not recommend the delivery is terrible,poor quality bad customer service would not recommend delivery terrible,-0.8959,0.0,0.568,0.432,-4.0,0
"Very disappointed with the quality, feels cheap and breaks easily The delivery is terrible.",1,charger,negative,2021-11-18,very disappointed with the quality feels cheap and breaks easily the delivery is terrible,disappointed quality feel cheap break easily delivery terrible,-0.624,0.121,0.326,0.553,-3.0,0
"Very bad quality, returned it immediately after opening the box The screen quality is terrible.",1,smartphone,negative,2021-04-18,very bad quality returned it immediately after opening the box the screen quality is terrible,bad quality returned immediately opening box screen quality terrible,-0.7841,0.0,0.347,0.653,-2.0,0
"Waste of money, does not work as described at all The price is terrible.",1,mouse,negative,2022-04-14,waste of money does not work as described at all the price is terrible,waste money not work described price terrible,-0.7096,0.0,0.33,0.67,-7.0,0
"Very bad quality, returned it immediately after opening the box The design is terrible.",2,headphones,negative,2021-02-27,very bad quality returned it immediately after opening the box the design is terrible,bad quality returned immediately opening box design terrible,-0.7841,0.0,0.365,0.635,-4.0,0
"Stopped working immediately, complete waste of money and time The battery life is terrible.",2,speaker,negative,2020-01-13,stopped working immediately complete waste of money and time the battery life is terrible,stopped working immediately complete waste money time battery life terrible,-0.7783,0.0,0.415,0.585,-5.0,0
"Broke after one week, very frustrating and disappointing experience The performance is terrible.",2,camera,negative,2023-01-23,broke after one week very frustrating and disappointing experience the performance is terrible,broke one week frustrating disappointing experience performance terrible,-0.911,0.0,0.582,0.418,-8.0,0
"Its fine, does what it says but there are better options available The design is average.",3,tablet,neutral,2021-07-12,its fine does what it says but there are better options available the design is average,fine say better option available design average,0.6428,0.273,0.0,0.727,4.0,1
"Horrible product, nothing like the description or photos shown The battery life is terrible.",2,keyboard,negative,2023-10-01,horrible product nothing like the description or photos shown the battery life is terrible,horrible product nothing like description photo shown battery life terrible,-0.8276,0.0,0.442,0.558,-4.0,0
"Works as described, not amazing but not terrible either The build quality is average.",3,speaker,neutral,2020-09-18,works as described not amazing but not terrible either the build quality is average,work described not amazing not terrible either build quality average,0.3171,0.192,0.117,0.691,3.0,1
"Its okay, has some good points and some bad points overall The battery life is average.",3,mouse,neutral,2023-04-27,its okay has some good points and some bad points overall the battery life is average,okay good point bad point overall battery life average,0.0772,0.225,0.164,0.61,0.0,1
"Product is okay, nothing special but does the job adequately The screen quality is average.",3,mouse,neutral,2020-10-04,product is okay nothing special but does the job adequately the screen quality is average,product okay nothing special job adequately screen quality average,-0.0462,0.09,0.101,0.809,2.0,1
"Waste of money, does not work as described at all The battery life is terrible.",2,mouse,negative,2021-11-01,waste of money does not work as described at all the battery life is terrible,waste money not work described battery life terrible,-0.7096,0.0,0.312,0.688,-7.0,0
"Perfect product, exactly what I needed and arrived quickly The customer service is excellent.",5,mouse,positive,2021-07-23,perfect product exactly what i needed and arrived quickly the customer service is excellent,perfect product exactly needed arrived quickly customer service excellent,0.8126,0.381,0.0,0.619,6.0,2
"Broke after one week, very frustrating and disappointing experience The screen quality is terrible.",2,headphones,negative,2023-01-09,broke after one week very frustrating and disappointing experience the screen quality is terrible,broke one week frustrating disappointing experience screen quality terrible,-0.911,0.0,0.557,0.443,-6.0,0
Super fast shipping and the product works exactly as advertised The price is excellent.,4,headphones,positive,2020-03-04,super fast shipping and the product works exactly as advertised the price is excellent,super fast shipping product work exactly advertised price excellent,0.8225,0.388,0.0,0.612,6.0,2
"Love this product, it works great and the quality is outstanding The battery life is excellent.",4,tablet,positive,2020-09-15,love this product it works great and the quality is outstanding the battery life is excellent,love product work great quality outstanding battery life excellent,0.9517,0.571,0.0,0.429,16.0,2
"Very disappointed with the quality, feels cheap and breaks easily The price is terrible.",2,charger,negative,2022-01-25,very disappointed with the quality feels cheap and breaks easily the price is terrible,disappointed quality feel cheap break easily price terrible,-0.624,0.121,0.326,0.553,-3.0,0
"Incredible product, works flawlessly and looks great too The screen quality is excellent.",4,charger,positive,2020-08-09,incredible product works flawlessly and looks great too the screen quality is excellent,incredible product work flawlessly look great screen quality excellent,0.8709,0.497,0.0,0.503,10.0,2
"Product is okay, nothing special but does the job adequately The delivery is average.",3,monitor,neutral,2023-10-19,product is okay nothing special but does the job adequately the delivery is average,product okay nothing special job adequately delivery average,-0.0462,0.096,0.108,0.796,0.0,1
"Stopped working immediately, complete waste of money and time The price is terrible.",1,monitor,negative,2023-11-15,stopped working immediately complete waste of money and time the price is terrible,stopped working immediately complete waste money time price terrible,-0.7783,0.0,0.438,0.562,-5.0,0
"Its fine, does what it says but there are better options available The screen quality is average.",3,charger,neutral,2023-11-02,its fine does what it says but there are better options available the screen quality is average,fine say better option available screen quality average,0.6428,0.259,0.0,0.741,6.0,1
"Average quality, works as expected nothing more nothing less The battery life is average.",3,keyboard,neutral,2022-12-27,average quality works as expected nothing more nothing less the battery life is average,average quality work expected nothing nothing less battery life average,0.0,0.0,0.0,1.0,2.0,1
"Not worth the price, cheap materials and poor construction overall The screen quality is terrible.",2,headphones,negative,2022-05-10,not worth the price cheap materials and poor construction overall the screen quality is terrible,not worth price cheap material poor construction overall screen quality terrible,-0.7824,0.0,0.396,0.604,-1.0,0
"Very disappointed with the quality, feels cheap and breaks easily The performance is terrible.",2,speaker,negative,2023-12-19,very disappointed with the quality feels cheap and breaks easily the performance is terrible,disappointed quality feel cheap break easily performance terrible,-0.624,0.121,0.326,0.553,-3.0,0
"Amazing value for money, will definitely buy again from this seller The build quality is excellent.",5,monitor,positive,2023-01-07,amazing value for money will definitely buy again from this seller the build quality is excellent,amazing value money definitely buy seller build quality excellent,0.9118,0.512,0.0,0.488,9.0,2
"Horrible product, nothing like the description or photos shown The performance is terrible.",2,keyboard,negative,2021-05-17,horrible product nothing like the description or photos shown the performance is terrible,horrible product nothing like description photo shown performance terrible,-0.8276,0.0,0.466,0.534,-4.0,0
"Best purchase I have made this year, highly recommend to everyone The design is excellent.",4,speaker,positive,2023-03-13,best purchase i have made this year highly recommend to everyone the design is excellent,best purchase made year highly recommend everyone design excellent,0.8932,0.471,0.0,0.529,8.0,2
"Works as described, not amazing but not terrible either The customer service is average.",3,headphones,neutral,2022-10-09,works as described not amazing but not terrible either the customer service is average,work described not amazing not terrible either customer service average,0.3171,0.192,0.117,0.691,1.0,1
"Waste of money, does not work as described at all The design is terrible.",1,keyboard,negative,2021-06-13,waste of money does not work as described at all the design is terrible,waste money not work described design terrible,-0.7096,0.0,0.33,0.67,-7.0,0
"Broke after one week, very frustrating and disappointing experience The delivery is terrible.",1,camera,negative,2021-01-26,broke after one week very frustrating and disappointing experience the delivery is terrible,broke one week frustrating disappointing experience delivery terrible,-0.911,0.0,0.582,0.418,-8.0,0
"Love this product, it works great and the quality is outstanding The performance is excellent.",5,camera,positive,2021-05-07,love this product it works great and the quality is outstanding the performance is excellent,love product work great quality outstanding performance excellent,0.9517,0.593,0.0,0.407,16.0,2
